,instance,IKS,theta1,theta2,theta3,theta4,theta5,theta6
2578,645.0,3.0,,,,,,
2579,645.0,4.0,,,,,,
2580,646.0,1.0,-0.2956167932002696,-2.822544581130163,0.9365287882283555,-2.793900221227123,2.60953600943899,2.536321317185191
2581,646.0,2.0,2.942054330687417,-0.3298831754423502,2.233516372632546,0.3028777421837441,2.6691737297698985,2.634457531565161
2582,646.0,3.0,,,,,,
2583,646.0,4.0,,,,,,
2584,647.0,1.0,-0.29441529113232195,-2.820556274902837,0.9333769209221806,-2.7941721585744945,2.61593238640378,2.5336620896580246
2585,647.0,2.0,2.9428533315477554,-0.33168898294391347,2.236590360734633,0.3026983094062323,2.675192318086926,2.631651364709716
2586,647.0,3.0,,,,,,
2587,647.0,4.0,,,,,,
2588,648.0,1.0,-0.2932192903118751,-2.8185912510268554,0.9302326000529011,-2.7943976285162675,2.622286916666108,2.5309833919681406
2589,648.0,2.0,2.943649663995871,-0.33347380736803395,2.2396568608032115,0.30256472152272246,2.681173124228548,2.628824503070627
2590,648.0,3.0,,,,,,
2591,648.0,4.0,,,,,,
2592,649.0,1.0,-0.29202867214580047,-2.816649292375254,0.927095949850629,-2.794576039555714,2.628599765818163,2.5282844731893803
2593,649.0,2.0,2.94444341854981,-0.3352378340739995,2.2427157102464523,0.30247772920222954,2.6871162082456856,2.625976120474227
2594,649.0,3.0,,,,,,
2595,649.0,4.0,,,,,,
2596,650.0,1.0,-0.29084331603253794,-2.814730183300422,0.9239670984028274,-2.794706776102128,2.634871090883618,2.525564569518234
2597,650.0,2.0,2.9452346882669915,-0.3369812473704458,2.2457667412759648,0.3024381114231591,2.6930216210157156,2.623105373202738
2598,650.0,3.0,,,,,,
2599,650.0,4.0,,,,,,
2600,651.0,1.0,-3.060352846070874,-0.37289434353870105,2.5618794602981385,-1.6222005540345057,-3.134938736366978,-1.7386347520003818
2601,651.0,2.0,-0.28966309928558387,-2.812833709612661,0.9208461777361987,-2.7947891979862036,2.6411010402822677,2.5228229037774943
2602,651.0,3.0,0.022825117621313333,-2.768857446840882,0.5817828150412302,1.385500889053052,-3.1199953232008895,-1.6704687005578176
2603,651.0,4.0,2.946023568842994,-0.33870423054374577,2.2488097807845824,0.3024466761543746,2.6988894041517963,2.6202113993937126
2604,652.0,1.0,-3.036602665161149,-0.3732496706318784,2.561643402640326,-1.7107585932670633,3.142297917628154,-1.6234201374715096
2605,652.0,2.0,-0.28848789705232813,-2.8109596585573584,0.9177333238979893,-2.7948226399645075,2.6472897537962368,2.520058684915449
2606,652.0,3.0,0.04341424813248454,-2.768420279250678,0.5828643178295682,1.3076255454661116,-3.1249303162511985,-1.5696110615628984
2607,652.0,4.0,2.9468101587158753,-0.3404069658876756,2.2518446502243594,0.30250426104802763,2.7047195899137657,2.617293318433841
2608,653.0,1.0,-3.0227688809628894,-0.37375636136505236,2.5616733502580575,-1.7637778011105094,3.1387737213657383,-1.5548394945100716
2609,653.0,2.0,-0.2873175822281903,-2.80910781879087,0.9146286770365353,-2.7948064112131332,2.6534373625379035,2.5172711075010983
2610,653.0,3.0,0.0565575125621473,-2.7678812975555256,0.58343817113916,1.2564579767842339,-3.1281260277064376,-1.5037502297412886
2611,653.0,4.0,2.9475945591761366,-0.342089634734275,2.2548711654851066,0.30261173414357717,2.710512201120996,2.614350230348172
2612,654.0,1.0,-3.0120826972892574,-0.3743088969289886,2.561786077234534,-1.805771509435589,3.135994602531002,-1.5007908419803466
2613,654.0,2.0,-0.2861520253659205,-2.8072779803550962,0.9115323814808182,-2.7947397948112296,2.6595439889199493,2.514459351215367
2614,654.0,3.0,0.06688827886623658,-2.7673056928293325,0.5838243072094561,1.2151540583188785,-3.1306837563289673,-1.450872048417127
2615,654.0,4.0,2.9483768744825323,-0.34375241748597907,2.2578891367738754,0.30276999458160403,2.716267251067907,2.6113812151851743
2616,655.0,1.0,-3.0031466882708244,-0.3748855076121345,2.561944681013366,-1.84175685051881,3.1336174036188544,-1.4546926408122727
2617,655.0,2.0,-0.28499109458000416,-2.8054699346508514,0.9084445858188167,-2.794622047214596,2.6656097466277413,2.511622580338889
2618,655.0,3.0,0.07559180075756951,-2.766710143900082,0.5841034548015095,1.1794405355082132,-3.1328826762462634,-1.4053823862657258
2619,655.0,4.0,2.949157211983836,-0.34539549364892125,2.2608983684957886,0.3029799733266612,2.721984743442589,2.6083853323989823
2620,656.0,1.0,-2.995375315606995,-0.37547708454406786,2.5621340827629027,-1.8738204410418562,3.131499469572801,-1.413803506982422
2621,656.0,2.0,-0.2838346554460286,-2.8036834744099917,0.9053654429743796,-2.794452397720163,2.6716347405945227,2.508759943236417
2622,656.0,3.0,0.0831914976297059,-2.766102009277856,0.584310778155119,1.147444360951066,-3.1348451848871832,-1.3648254749767461
